ein,name,dba,street,city,state,zip,country,subsection,revocation_date,posting_date,reinstatement_date,note
462941036,BEYOND INDEPENDENT LIVING LLC,BEYOND INDEPENDENT LIVING,10 TOWER OFFICE PARK STE 313,WOBURN,MA,01801-2120,US,03,15-MAY-2021,09-AUG-2021,,"same number as the Secretary of the Commonwealth ID for BEYOND INDEPENDENT LIVING LLC, the vendor paid $32,404,181"
465109128,BEYOND ZOE MINISTRY INC,,,WESTON,MA,02493,US,03,15-MAY-2017,16-AUG-2017,15-MAY-2017,
472476331,FIRE OF LIFE,,,WESTON,MA,02493,US,03,15-MAY-2017,16-AUG-2017,15-MAY-2017,
472476331,FIRE OF LIFE INC,,66 SPARK ST,BROCKTON,MA,02302-1705,US,03,15-MAY-2022,17-JAN-2026,,"second revocation; posted 17 Jan 2026, four days before the X post"
821341006,NKUMS WORLD OUTREACH,,66 SPARK ST,BROCKTON,MA,02302-1705,US,03,15-MAY-2020,11-AUG-2020,,
822091333,NIGERIAN NURSES ASSOCIATION OF MASSACHUSETTS INC,,,WESTON,MA,02493,US,03,15-MAY-2020,11-AUG-2020,,
822326336,EMBASSY OF GRACE A PLACE OF FAVOR INC,,,WESTON,MA,02493,US,03,15-MAY-2020,11-AUG-2020,,
850730708,HOPE AND POWER MEGA CHURCH,,,WESTON,MA,02493,US,03,15-MAY-2023,14-AUG-2023,,
464731086,BEYOND ZOE MINISTRIES INTERNATIONAL,BEYOND ZOE MINISTRIES,,WESTON,MA,02493,US,04,15-MAY-2017,16-AUG-2017,,added 2026-09-25; EIN predates the register entity of this name (organised 2020-07-13)
814176136,ZEIIND FAMILY FOUNDATION,,,WESTON,MA,02493,US,03,15-MAY-2019,12-AUG-2019,,added 2026-09-25
851507631,JOHN EGAH MINISTRIES,,,WESTON,MA,02493,US,03,15-APR-2023,10-JUL-2023,,added 2026-09-25
